Absolutdruck 1 vs Winkelposition, Messreihe #1
Winkelposition ( rad )	Absolutdruck 1 ( kPa )
1,560	154,48
1,587	156,96
1,616	160,21
1,645	163,28
1,668	165,67
1,690	168,80
1,711	171,85
1,731	174,01
1,750	176,63
1,766	179,15
1,781	181,03
1,792	183,24
1,802	185,33
1,808	186,72
1,813	188,40
1,816	189,57
1,819	190,86
1,821	191,81
1,821	192,39
1,817	192,75
1,813	193,11
1,803	193,15
1,792	193,02
1,778	192,39
1,764	191,76
1,750	190,85
1,733	189,70
1,712	188,65
1,690	187,15
1,665	185,57
1,638	184,18
1,612	182,36
1,583	180,85
1,554	178,83
1,522	176,70
1,489	175,01
1,455	172,81
1,417	170,50
1,379	168,64
1,340	166,22
1,301	163,85
1,260	162,02
1,219	159,46
1,177	156,92
1,133	154,83
1,089	152,40
1,045	149,23
0,999	146,92
0,953	144,30
0,909	141,52
0,862	139,23
0,817	136,51
0,771	134,48
0,726	131,67
0,680	129,13
0,635	127,14
0,589	124,91
0,543	122,48
0,500	120,70
0,456	118,46
0,415	116,47
0,374	114,88
0,333	113,01
0,292	111,58
0,254	109,75
0,215	108,00
0,179	106,76
0,146	105,28
0,113	103,82
0,082	102,69
0,052	101,39
0,024	100,15
-0,005	99,21
-0,030	98,10
-0,053	97,35
-0,074	96,43
-0,094	95,51
-0,112	94,79
-0,127	94,09
-0,141	93,36
-0,154	92,86
-0,167	92,33
-0,176	91,83
-0,182	91,42
-0,185	91,02
-0,187	90,76
-0,187	90,43
-0,187	90,22
-0,185	90,03
-0,182	89,89
-0,176	89,79
-0,167	89,75
-0,156	89,73
-0,143	89,79
-0,127	89,89
-0,110	90,07
-0,093	90,30
-0,072	90,47
-0,050	90,81
-0,027	91,08
0,000	91,49
0,027	91,96
0,055	92,37
0,085	92,89
0,118	93,49
0,151	94,02
0,187	94,73
0,225	95,50
0,261	96,16
0,300	97,01
0,338	97,79
0,379	98,81
0,419	99,87
0,463	100,79
0,507	101,95
0,551	103,25
0,597	104,33
0,642	105,79
0,688	107,27
0,734	108,55
0,779	110,25
0,825	111,99
0,870	113,47
0,916	115,33
0,961	116,91
1,007	118,95
1,052	121,10
1,098	122,86
1,142	125,16
1,184	127,62
1,225	129,67
1,266	132,30
1,307	135,10
1,348	137,26
1,387	140,20
1,425	142,77
1,459	145,86
1,494	148,84
1,525	151,42
1,558	154,46
1,588	157,43
1,618	160,01
1,645	163,07
1,670	166,15
1,693	168,41
1,714	171,26
1,733	174,07
1,751	176,39
1,769	179,00
1,781	181,32
1,792	183,21
1,802	185,22
1,810	187,14
1,814	188,41
1,819	189,88
1,821	190,73
1,821	191,59
1,821	192,32
1,816	192,70
1,811	193,07
1,803	192,97
1,792	192,72
1,778	192,16
1,764	191,57
1,748	190,95
1,731	189,70
1,711	188,40
1,689	187,16
1,663	185,69
1,638	184,27
1,610	182,44
1,582	180,39
1,552	178,78
1,521	176,77
1,488	174,60
1,453	172,88
1,415	170,56
1,378	168,94
1,337	166,56
1,297	164,02
1,257	161,84
1,216	160,07
1,173	156,72
1,131	154,10
1,087	151,96
1,041	148,94
0,997	146,15
0,952	144,21
0,906	141,50
0,861	139,20
0,814	136,53
0,768	133,98
0,723	131,96
0,677	129,36
0,631	126,96
0,587	125,09
0,542	122,74
0,498	120,47
0,454	118,83
0,412	116,76
0,371	115,16
0,330	113,12
0,291	111,20
0,251	109,85
0,214	108,18
0,178	106,53
0,143	105,19
0,112	103,76
0,080	102,38
0,050	101,40
0,020	100,19
-0,006	99,29
-0,031	98,12
-0,055	97,18
-0,075	96,49
-0,094	95,56
-0,112	94,80
-0,129	94,16
-0,143	93,46
-0,156	92,88
-0,167	92,46
-0,176	91,94
-0,182	91,48
-0,185	91,17
-0,187	90,80
-0,187	90,57
-0,187	90,34
-0,185	90,20
-0,182	90,07
-0,176	90,03
-0,167	90,03
-0,156	90,04
-0,143	90,11
-0,127	90,25
-0,110	90,41
-0,091	90,59
-0,071	90,84
-0,049	91,17
-0,024	91,54
0,002	91,87
0,028	92,30
0,057	92,83
0,086	93,26
0,119	93,84
0,154	94,50
0,190	95,12
0,226	95,88
0,264	96,73
0,300	97,42
0,339	98,36
0,380	99,20
0,423	100,22
0,467	101,35
0,511	102,29
0,554	103,55
0,600	104,87
0,646	106,03
0,690	107,57
0,735	109,20
0,782	110,55
0,828	112,30
0,873	113,75
0,919	115,61
0,964	117,60
1,010	119,26
1,056	121,36
1,100	123,59
1,144	125,43
1,186	127,89
1,227	130,53
1,268	132,67
1,308	135,39
1,349	137,75
1,389	140,61
1,426	143,65
1,461	146,09
1,494	149,12
1,527	152,11
1,558	154,62
1,588	157,68
1,619	160,81
1,646	163,28
1,671	166,22
1,693	169,36
1,714	171,64
1,733	174,52
1,751	177,02
1,767	179,09
1,783	181,59
1,794	183,34
1,803	185,46
1,810	187,21
1,814	188,41
1,817	189,85
1,819	191,09
1,821	191,87
1,821	192,42
1,817	193,01
1,811	192,94
1,802	193,10
1,791	192,87
1,777	192,49
1,764	191,70
1,748	190,74
1,731	189,85
1,712	188,62
1,689	187,44
1,663	185,78
1,637	184,22
1,608	182,58
1,580	180,64
1,550	178,55
1,519	176,81
1,486	174,76
1,451	172,52
1,414	170,83
1,374	168,50
1,335	166,15
1,296	164,19
1,255	161,77
1,214	159,10
1,172	157,07
1,129	154,24
1,084	151,47
1,040	149,38
0,996	146,62
0,949	144,60
0,903	141,83
0,858	139,06
0,812	136,97
0,767	134,33
0,721	131,65
0,675	129,71
0,630	127,06
0,584	124,81
0,540	123,00
0,495	120,75
0,452	118,47
0,410	116,84
0,369	114,81
0,328	113,31
0,289	111,41
0,250	109,65
0,212	108,24
0,176	106,66
0,143	105,15
0,110	103,81
0,079	102,54
0,049	101,45
0,020	100,35
-0,008	99,09
