Absolutdruck 1, Messreihe #1
Zeit ( s )	Absolutdruck 1 ( kPa )
35,0000	106,09
35,1000	160,45
35,2000	145,43
35,3000	101,34
35,4000	155,87
35,5000	172,34
35,6000	101,67
35,7000	129,43
35,8000	175,54
35,9000	111,83
36,0000	125,37
36,1000	178,27
36,2000	115,33
36,3000	121,56
36,4000	179,67
36,5000	119,14
36,6000	105,67
36,7000	177,34
36,8000	146,42
36,9000	104,03
37,0000	154,87
37,1000	151,58
37,2000	101,80
37,3000	150,32
37,4000	176,22
37,5000	102,62
37,6000	124,53
37,7000	178,80
37,8000	116,10
37,9000	120,73
38,0000	180,86
38,1000	120,03
38,2000	117,18
38,3000	176,85
38,4000	124,29
38,5000	103,71
38,6000	173,83
38,7000	152,82
38,8000	102,63
38,9000	149,19
39,0000	157,67
39,1000	102,88
39,2000	144,57
39,3000	179,50
39,4000	104,33
39,5000	119,92
39,6000	181,21
39,7000	120,99
39,8000	116,45
39,9000	176,29
40,0000	125,33
40,1000	113,16
40,2000	172,95
40,3000	130,00
40,4000	102,37
40,5000	169,23
40,6000	159,26
40,7000	101,67
40,8000	143,11
40,9000	164,06
41,0000	104,77
41,1000	138,25
41,2000	181,76
41,3000	106,88
41,4000	115,35
41,5000	182,39
41,6000	126,87
41,7000	112,33
41,8000	172,04
41,9000	131,47
42,0000	102,14
42,1000	168,04
42,2000	136,56
42,3000	101,50
42,4000	163,95
42,5000	165,46
42,6000	101,28
42,7000	137,06
42,8000	169,93
42,9000	107,42
43,0000	132,55
43,1000	182,55
43,2000	109,88
43,3000	111,82
43,4000	182,25
43,5000	132,72
43,6000	109,34
43,7000	167,31
43,8000	137,61
43,9000	101,42
44,0000	163,12
44,1000	166,61
44,2000	101,28
44,3000	158,58
44,4000	170,72
44,5000	101,45
44,6000	131,78
44,7000	174,45
44,8000	110,46
44,9000	127,51
45,0000	182,23
45,1000	113,52
45,2000	108,90
45,3000	181,00
45,4000	138,70
45,5000	106,75
45,6000	162,25
45,7000	144,04
45,8000	101,28
45,9000	157,62
46,0000	171,57
46,1000	101,51
46,2000	130,91
46,3000	175,14
46,4000	102,20
46,5000	126,70
46,6000	178,13
46,7000	114,29
46,8000	122,90
46,9000	180,69
47,0000	117,95
