Absolutdruck 1 vs Winkelposition, Messreihe #1
Winkelposition ( rad )	Absolutdruck 1 ( kPa )
-0,481	116,31
-0,498	115,68
-0,515	115,01
-0,533	114,47
-0,551	113,87
-0,567	113,36
-0,584	112,77
-0,600	112,17
-0,616	111,72
-0,633	111,12
-0,649	110,56
-0,664	110,12
-0,680	109,63
-0,694	109,07
-0,708	108,69
-0,724	108,14
-0,738	107,81
-0,752	107,26
-0,767	106,82
-0,781	106,52
-0,793	106,03
-0,806	105,57
-0,818	105,20
-0,831	104,87
-0,844	104,46
-0,855	104,12
-0,867	103,77
-0,878	103,46
-0,889	103,12
-0,900	102,71
-0,909	102,49
-0,919	102,17
-0,930	101,84
-0,938	101,60
-0,947	101,29
-0,957	101,02
-0,964	100,81
-0,972	100,56
-0,980	100,31
-0,986	100,07
-0,993	99,87
-0,999	99,69
-1,005	99,51
-1,012	99,33
-1,018	99,12
-1,024	98,96
-1,029	98,79
-1,034	98,65
-1,038	98,47
-1,041	98,38
-1,045	98,21
-1,049	98,09
-1,052	97,99
-1,054	97,93
-1,057	97,82
-1,057	97,72
-1,060	97,68
-1,062	97,59
-1,063	97,58
-1,063	97,49
-1,063	97,50
-1,063	97,49
-1,063	97,45
-1,063	97,43
-1,063	97,46
-1,062	97,45
-1,062	97,43
-1,060	97,45
-1,057	97,45
-1,056	97,45
-1,052	97,46
-1,049	97,48
-1,045	97,50
-1,041	97,56
-1,037	97,61
-1,032	97,70
-1,027	97,79
-1,021	97,85
-1,016	97,97
-1,012	98,10
-1,005	98,21
-0,997	98,31
-0,990	98,44
-0,982	98,56
-0,974	98,71
-0,968	98,80
-0,958	98,96
-0,950	99,11
-0,942	99,26
-0,933	99,42
-0,922	99,57
-0,913	99,81
-0,902	99,98
-0,892	100,18
-0,881	100,42
-0,870	100,69
-0,859	100,84
-0,848	101,13
-0,836	101,36
-0,823	101,60
-0,812	101,92
-0,800	102,12
-0,785	102,43
-0,773	102,74
-0,760	102,96
-0,746	103,29
-0,732	103,62
-0,718	103,93
-0,704	104,29
-0,690	104,58
-0,674	104,94
-0,660	105,31
-0,644	105,62
-0,628	106,03
-0,613	106,47
-0,597	106,82
-0,581	107,20
-0,565	107,66
-0,548	108,03
-0,531	108,47
-0,515	108,87
-0,498	109,32
-0,481	109,79
-0,463	110,19
-0,446	110,69
-0,429	111,25
-0,412	111,73
-0,394	112,25
-0,377	112,80
