Temperatur, Messreihe #1
Zeit ( s )	Temperatur ( °C )
0,0000	22,1
0,2000	22,1
0,4000	22,1
0,6000	22,1
0,8000	22,1
1,0000	22,1
1,2000	22,1
1,4000	22,1
1,6000	22,1
1,8000	22,1
2,0000	22,1
2,2000	22,1
2,4000	22,1
2,6000	22,1
2,8000	22,1
3,0000	22,1
3,2000	22,1
3,4000	22,1
3,6000	22,1
3,8000	22,1
4,0000	22,1
4,2000	22,1
4,4000	22,1
4,6000	22,1
4,8000	22,1
5,0000	22,1
5,2000	22,1
5,4000	22,1
5,6000	22,1
5,8000	22,1
6,0000	22,1
6,2000	22,1
6,4000	22,1
6,6000	22,1
6,8000	22,1
7,0000	22,1
7,2000	22,1
7,4000	22,1
7,6000	22,1
7,8000	22,1
8,0000	22,1
8,2000	22,1
8,4000	22,1
8,6000	22,1
8,8000	22,1
9,0000	22,1
9,2000	22,1
9,4000	22,1
9,6000	22,1
9,8000	22,1
10,0000	22,1
10,2000	22,1
10,4000	22,0
10,6000	22,0
10,8000	22,0
11,0000	22,0
11,2000	22,0
11,4000	22,0
11,6000	22,0
11,8000	22,0
12,0000	22,0
12,2000	22,0
12,4000	22,0
12,6000	22,0
12,8000	22,0
13,0000	22,0
13,2000	22,0
13,4000	21,9
13,6000	21,9
13,8000	21,9
14,0000	21,9
14,2000	21,9
14,4000	21,9
14,6000	21,9
14,8000	21,8
15,0000	21,8
15,2000	21,8
15,4000	21,8
15,6000	21,8
15,8000	21,8
16,0000	21,7
16,2000	21,7
16,4000	21,7
16,6000	21,7
16,8000	21,7
17,0000	21,6
17,2000	21,6
17,4000	21,6
17,6000	21,6
17,8000	21,5
18,0000	21,5
18,2000	21,5
18,4000	21,5
18,6000	21,4
18,8000	21,4
19,0000	21,4
19,2000	21,4
19,4000	21,3
19,6000	21,3
19,8000	21,3
20,0000	21,2
20,2000	21,2
20,4000	21,2
20,6000	21,2
20,8000	21,1
21,0000	21,1
21,2000	21,1
21,4000	21,0
21,6000	21,0
21,8000	21,0
22,0000	20,9
22,2000	20,9
22,4000	20,9
22,6000	20,8
22,8000	20,8
23,0000	20,8
23,2000	20,7
23,4000	20,7
23,6000	20,7
23,8000	20,6
24,0000	20,6
24,2000	20,6
24,4000	20,5
24,6000	20,5
24,8000	20,5
25,0000	20,4
25,2000	20,4
25,4000	20,4
25,6000	20,3
25,8000	20,3
26,0000	20,2
26,2000	20,2
26,4000	20,2
26,6000	20,1
26,8000	20,1
27,0000	20,1
27,2000	20,0
27,4000	20,0
27,6000	19,9
27,8000	19,9
28,0000	19,9
28,2000	19,8
