Absolutdruck 1, Messreihe #1
Zeit ( s )	Absolutdruck 1 ( kPa )
35,0000	126,10
35,1000	165,51
35,2000	109,75
35,3000	116,14
35,4000	169,11
35,5000	119,51
35,6000	108,42
35,7000	159,37
35,8000	132,01
35,9000	98,55
36,0000	149,63
36,1000	162,50
36,2000	99,32
36,3000	119,87
36,4000	168,59
36,5000	115,63
36,6000	111,11
36,7000	162,64
36,8000	127,07
36,9000	98,79
37,0000	154,02
37,1000	158,68
37,2000	98,66
37,3000	123,93
37,4000	166,54
37,5000	101,06
37,6000	114,42
37,7000	169,73
37,8000	122,00
37,9000	107,05
38,0000	157,85
38,1000	134,32
38,2000	98,38
38,3000	147,66
38,4000	163,89
38,5000	99,70
38,6000	118,20
38,7000	168,93
38,8000	117,59
38,9000	109,71
39,0000	161,15
39,1000	129,17
39,2000	98,66
39,3000	151,91
39,4000	160,37
39,5000	98,85
39,6000	140,93
39,7000	167,33
39,8000	101,75
39,9000	112,96
40,0000	169,82
40,1000	124,18
40,2000	106,02
40,3000	156,25
40,4000	136,60
40,5000	98,57
40,6000	145,75
40,7000	165,03
40,8000	100,27
40,9000	116,53
41,0000	169,37
41,1000	119,48
41,2000	108,61
41,3000	159,93
41,4000	131,30
41,5000	98,55
41,6000	150,33
41,7000	143,76
41,8000	99,19
41,9000	139,24
42,0000	167,95
42,1000	102,45
42,2000	111,66
42,3000	169,85
42,4000	125,75
42,5000	105,30
42,6000	154,79
42,7000	138,51
42,8000	98,63
42,9000	144,16
43,0000	165,91
43,1000	100,69
43,2000	115,36
43,3000	169,49
43,4000	120,86
43,5000	107,78
43,6000	158,87
43,7000	132,67
43,8000	102,51
43,9000	149,37
44,0000	144,93
44,1000	99,39
44,2000	138,02
44,3000	168,38
44,4000	103,01
44,5000	111,03
44,6000	169,82
44,7000	126,99
44,8000	104,79
44,9000	153,93
45,0000	139,34
45,1000	98,70
45,2000	143,34
45,3000	166,19
45,4000	100,94
45,5000	114,79
45,6000	169,61
45,7000	121,47
45,8000	107,55
45,9000	168,96
46,0000	133,53
46,1000	102,37
46,2000	148,70
46,3000	145,90
46,4000	99,55
46,5000	137,44
46,6000	168,52
46,7000	103,27
46,8000	110,75
46,9000	169,79
47,0000	127,71
47,1000	104,42
47,2000	153,49
47,3000	139,85
47,4000	98,81
47,5000	142,81
47,6000	166,69
47,7000	101,20
47,8000	114,48
47,9000	169,73
48,0000	106,23
48,1000	107,29
48,2000	168,77
48,3000	134,08
48,4000	102,05
48,5000	148,27
48,6000	146,22
48,7000	99,73
48,8000	137,38
48,9000	168,75
49,0000	103,47
49,1000	110,59
49,2000	169,72
49,3000	127,68
49,4000	104,51
49,5000	153,59
49,6000	140,06
49,7000	98,84
49,8000	142,93
49,9000	166,51
50,0000	101,19
50,1000	114,73
50,2000	169,75
50,3000	106,21
50,4000	107,43
50,5000	168,92
50,6000	133,85
50,7000	102,25
50,8000	148,47
50,9000	146,09
51,0000	99,58
51,1000	137,51
51,2000	168,57
51,3000	103,30
51,4000	110,74
51,5000	169,77
51,6000	127,45
51,7000	104,65
51,8000	153,72
51,9000	139,91
52,0000	98,82
52,1000	143,16
52,2000	151,65
52,3000	101,14
52,4000	131,93
52,5000	169,76
52,6000	106,12
52,7000	107,62
52,8000	169,04
52,9000	133,62
53,0000	102,42
53,1000	148,93
53,2000	145,62
53,3000	99,63
53,4000	138,13
53,5000	168,57
53,6000	103,25
53,7000	111,06
53,8000	169,88
53,9000	127,08
54,0000	104,93
54,1000	154,28
54,2000	139,17
54,3000	100,81
54,4000	144,13
54,5000	150,79
54,6000	100,82
54,7000	133,01
54,8000	169,64
54,9000	105,55
55,0000	108,21
55,1000	169,20
55,2000	132,40
55,3000	102,90
55,4000	149,93
55,5000	144,30
55,6000	99,35
55,7000	139,14
55,8000	168,03
55,9000	102,60
56,0000	112,18
56,1000	169,99
56,2000	125,62
56,3000	105,75
56,4000	155,62
56,5000	137,70
56,6000	101,23
56,7000	145,36
56,8000	149,70
56,9000	100,52
57,0000	134,20
57,1000	169,29
57,2000	104,85
57,3000	109,02
57,4000	169,43
57,5000	130,76
57,6000	103,40
57,7000	151,31
57,8000	142,89
57,9000	99,20
58,0000	140,63
58,1000	167,50
58,2000	102,04
58,3000	113,20
58,4000	169,85
58,5000	107,46
58,6000	106,38
58,7000	168,48
58,8000	135,57
58,9000	101,77
59,0000	147,18
59,1000	147,33
59,2000	99,97
59,3000	136,44
59,4000	168,82
59,5000	103,80
59,6000	110,16
59,7000	169,72
59,8000	128,30
59,9000	104,54
60,0000	153,37
60,1000	140,60
60,2000	99,04
60,3000	142,91
60,4000	166,46
60,5000	101,21
60,6000	114,78
60,7000	169,71
60,8000	106,14
60,9000	107,72
61,0000	169,02
61,1000	133,16
61,2000	102,64
61,3000	149,32
61,4000	145,29
61,5000	99,57
61,6000	138,27
61,7000	168,20
61,8000	102,88
61,9000	111,58
62,0000	169,82
62,1000	125,93
62,2000	105,47
62,3000	155,17
62,4000	138,02
62,5000	98,80
62,6000	145,06
62,7000	165,41
62,8000	100,59
62,9000	134,29
63,0000	169,38
63,1000	104,88
63,2000	109,04
63,3000	169,55
63,4000	130,64
63,5000	103,63
63,6000	151,74
63,7000	142,44
63,8000	99,18
63,9000	141,04
64,0000	167,22
64,1000	101,82
64,2000	113,64
64,3000	169,90
64,4000	123,23
64,5000	106,92
64,6000	157,59
64,7000	134,95
64,8000	98,66
64,9000	148,13
65,0000	146,56
65,1000	99,88
65,2000	137,50
65,3000	168,56
65,4000	103,37
65,5000	111,20
65,6000	169,97
65,7000	126,97
65,8000	105,12
65,9000	154,80
66,0000	138,29
66,1000	98,84
66,2000	145,08
66,3000	165,29
66,4000	100,55
66,5000	116,77
66,6000	169,37
66,7000	119,29
66,8000	109,41
66,9000	161,17
67,0000	129,80
67,1000	103,99
67,2000	152,42
67,3000	141,42
67,4000	99,10
67,5000	142,52
67,6000	166,68
67,7000	101,35
67,8000	114,68
67,9000	169,66
68,0000	121,66
68,1000	107,93
68,2000	159,08
68,3000	132,73
68,4000	98,76
68,5000	150,30
68,6000	162,04
68,7000	99,47
68,8000	121,03
68,9000	167,77
69,0000	114,42
69,1000	112,77
69,2000	169,85
69,3000	124,37
69,4000	106,38
69,5000	156,87
69,6000	135,83
69,7000	98,71
69,8000	147,22
69,9000	164,16
70,0000	100,12
70,1000	118,44
70,2000	168,90
70,3000	117,58
70,4000	110,46
70,5000	162,26
70,6000	127,92
70,7000	99,08
70,8000	154,01
70,9000	158,97
71,0000	98,97
71,1000	125,05
71,2000	166,09
71,3000	100,97
71,4000	116,11
71,5000	169,59
71,6000	120,11
71,7000	108,97
71,8000	160,55
71,9000	130,84
72,0000	98,83
72,1000	151,82
72,2000	160,86
72,3000	99,31
72,4000	122,43
72,5000	167,34
72,6000	113,34
72,7000	114,09
72,8000	165,44
72,9000	122,80
73,0000	100,08
73,1000	158,65
73,2000	154,56
73,3000	98,83
73,4000	149,42
73,5000	162,93
73,6000	99,71
73,7000	120,07
73,8000	168,27
73,9000	115,73
74,0000	111,93
74,1000	163,65
74,2000	126,10
74,3000	99,32
74,4000	155,48
74,5000	157,37
74,6000	98,81
74,7000	126,22
74,8000	165,04
74,9000	110,04
75,0000	117,28
75,1000	167,38
75,2000	118,89
75,3000	100,79
75,4000	161,25
75,5000	129,67
75,6000	98,90
75,7000	152,64
75,8000	160,13
75,9000	99,14
76,0000	123,36
76,1000	166,69
76,2000	112,50
76,3000	114,58
76,4000	165,72
76,5000	122,22
76,6000	100,02
76,7000	158,52
76,8000	154,26
76,9000	98,84
77,0000	129,79
77,1000	162,60
77,2000	107,42
77,3000	120,19
77,4000	168,57
77,5000	115,47
77,6000	112,04
77,7000	163,68
77,8000	125,93
77,9000	99,44
