Temperatur, Messreihe #1
Zeit ( s )	Temperatur ( °C )
64,0000	0,2
64,2000	0,2
64,4000	0,2
64,6000	0,2
64,8000	0,2
65,0000	0,2
65,2000	0,2
65,4000	0,2
65,6000	0,2
65,8000	0,2
66,0000	0,2
66,2000	0,2
66,4000	0,2
66,6000	0,2
66,8000	0,2
67,0000	0,3
67,2000	0,3
67,4000	0,3
67,6000	0,3
67,8000	0,3
68,0000	0,3
68,2000	0,3
68,4000	0,3
68,6000	0,3
68,8000	0,3
69,0000	0,3
69,2000	0,3
69,4000	0,3
69,6000	0,3
69,8000	0,3
70,0000	0,3
70,2000	0,3
70,4000	0,3
70,6000	0,3
70,8000	0,3
71,0000	0,3
71,2000	0,3
71,4000	0,3
71,6000	0,3
71,8000	0,3
72,0000	0,3
72,2000	0,3
72,4000	0,3
72,6000	0,3
72,8000	0,3
73,0000	0,3
73,2000	0,3
73,4000	0,3
73,6000	0,3
73,8000	0,3
74,0000	0,3
74,2000	0,3
74,4000	0,3
74,6000	0,4
74,8000	0,4
75,0000	0,4
75,2000	0,4
75,4000	0,4
75,6000	0,4
75,8000	0,4
76,0000	0,4
76,2000	0,4
76,4000	0,4
76,6000	0,4
76,8000	0,4
77,0000	0,4
77,2000	0,4
77,4000	0,4
77,6000	0,4
77,8000	0,4
78,0000	0,4
78,2000	0,4
78,4000	0,4
78,6000	0,4
78,8000	0,4
79,0000	0,4
79,2000	0,4
79,4000	0,4
79,6000	0,4
79,8000	0,4
80,0000	0,4
80,2000	0,4
80,4000	0,4
80,6000	0,4
80,8000	0,4
81,0000	0,4
81,2000	0,4
81,4000	0,4
81,6000	0,4
81,8000	0,4
82,0000	0,4
82,2000	0,4
82,4000	0,4
82,6000	0,4
82,8000	0,4
83,0000	0,4
83,2000	0,4
83,4000	0,4
83,6000	0,4
83,8000	0,4
84,0000	0,4
84,2000	0,4
84,4000	0,4
84,6000	0,4
84,8000	0,4
85,0000	0,4
85,2000	0,4
85,4000	0,4
85,6000	0,4
85,8000	0,5
86,0000	0,4
86,2000	0,5
86,4000	0,5
86,6000	0,5
86,8000	0,5
87,0000	0,5
87,2000	0,5
87,4000	0,5
87,6000	0,5
87,8000	0,5
88,0000	0,5
88,2000	0,5
88,4000	0,5
88,6000	0,5
88,8000	0,5
89,0000	0,5
89,2000	0,5
89,4000	0,5
89,6000	0,5
89,8000	0,5
90,0000	0,5
90,2000	0,5
90,4000	0,5
90,6000	0,5
90,8000	0,5
91,0000	0,5
91,2000	0,5
91,4000	0,5
91,6000	0,5
91,8000	0,5
92,0000	0,5
92,2000	0,5
92,4000	0,5
92,6000	0,5
92,8000	0,5
93,0000	0,5
93,2000	0,5
93,4000	0,5
93,6000	0,5
93,8000	0,5
94,0000	0,5
94,2000	0,5
94,4000	0,5
94,6000	0,5
94,8000	0,5
95,0000	0,5
95,2000	0,5
95,4000	0,5
95,6000	0,5
95,8000	0,5
96,0000	0,5
96,2000	0,5
96,4000	0,5
96,6000	0,5
96,8000	0,5
97,0000	0,5
97,2000	0,5
97,4000	0,5
97,6000	0,5
97,8000	0,5
98,0000	0,5
98,2000	0,5
98,4000	0,5
98,6000	0,5
98,8000	0,5
99,0000	0,5
99,2000	0,5
99,4000	0,5
99,6000	0,5
99,8000	0,5
100,0000	0,6
100,2000	0,5
100,4000	0,6
100,6000	0,5
100,8000	0,6
101,0000	0,6
101,2000	0,6
101,4000	0,6
101,6000	0,6
101,8000	0,6
102,0000	0,6
102,2000	0,6
102,4000	0,6
102,6000	0,6
102,8000	0,6
103,0000	0,6
103,2000	0,6
103,4000	0,6
103,6000	0,6
103,8000	0,6
104,0000	0,6
104,2000	0,6
104,4000	0,6
104,6000	0,6
104,8000	0,6
105,0000	0,6
105,2000	0,6
105,4000	0,6
105,6000	0,6
105,8000	0,6
106,0000	0,6
106,2000	0,6
106,4000	0,6
106,6000	0,6
