0.001	0.024   0.002
0.293	7.24    0.01
0.604	10.37   0.01
1.195	14.75   0.01
0.902	12.71   0.01
1.489	16.51   0.04
1.804	18.3    0.04
2.08	19.81   0.04
2.4	21.5        0.1
2.704	23      0.1
3.005	24.4    0.1
4.092	29.2    0.1
5.047	33      0.1
6.03	36.6    0.1
7.99	43.2    0.1
10	49.4        0.1
12.54	56.5    0.1
