3.5	14	0.06	0.045
3.5	7	0.18	0.355
3.5	3.5	0.475	0.185
3.5	0	0.52	0.03
3.5	-3.5	0.48	-0.22
3.5	-7	0.17	-0.36
3.5	-14	0.06	-0.4
6.5	14	0.03	0.05
6.5	7	0.115	0.15
6.5	3.5	0.235	0.1
6.5	0	0.27	0.03
6.5	-3.5	0.235	-0.115
6.5	-7	0.11	-0.155
6.5	-14	0.03	-0.05
9.5	14	0.03	0.04
9.5	7	0.08	0.075
9.5	3.5	0.125	0.055
9.5	0	0.15	0.03
9.5	-3.5	0.125	-0.06
9.5	-7	0.075	-0.085
9.5	-14	0.03	-0.04
