-1.04	0
-0.57	12.6
0.05	16.6
0.44	18.6
0.52	20.4
0.39	21
0.18	21.9
-0.14	22.8
-0.48	23.9
-0.6	25.6
-0.3	26.8
0.07	28
0.55	29.6
0.89	30.6
1.05	31
1.29	31.5
2.17	33.1
2.79	34.5
3.61	36.4
3.73	37.7
3.47	39.2
3.12	40.2
2.77	40.9
2.22	42
1.8	43.6
2.28	44.2
2.22	45.7
2.72	48.5
3.4	50.3
4.33	51.7
5.02	53.5
5.82	58.6
5.5	63.6
5.67	67
6.57	70.7
6.9	71.5
7.47	73.5
8.26	78.2
8.85	82.1
9.38	85.4
9.47	86
